City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
319,gufeng,26.9083,118.9819,18.68,93,100,0.83,CN,1686510227
320,sept-iles,50.2001,-66.3821,19.29,56,100,5.14,CA,1686510001
321,peniche,39.3558,-9.3811,21.71,88,100,3.33,PT,1686510227
322,filey,54.21,-0.2892,17.82,82,55,1.34,GB,1686510227
323,aripuana,-9.1667,-60.6333,29.54,59,100,0.43,BR,1686510227
324,kurumkan,54.3,110.3,18.72,51,100,1.97,RU,1686510227
325,harper,4.375,-7.7169,25.71,80,100,5.87,LR,1686510227
326,piacabucu,-10.4056,-36.4344,25.59,85,2,4.38,BR,1686510149
327,dera ghazi khan,30.0561,70.6348,38.46,23,0,1.05,PK,1686510019
328,alofi,-19.0595,-169.9187,22.94,94,96,4.12,NU,1686510090
329,arar,30.9753,41.0381,34.01,21,20,0.0,SA,1686510139
330,kayangel,8.0823,134.7173,28.81,78,64,5.58,PW,1686510228
331,salinas,36.6777,-121.6555,16.9,80,100,4.63,US,1686510006
332,khvoynaya,58.9,34.5333,10.67,60,80,1.92,RU,1686510228
333,taro,-8.3862,115.28,23.0,95,87,0.63,ID,1686510229
334,shohimardon,39.9839,71.8028,24.43,50,100,2.73,UZ,1686510229
335,san bernardo del viento,9.3533,-75.9524,30.62,69,87,2.57,CO,1686510229
336,redencao,-4.2258,-38.7306,29.48,66,17,1.46,BR,1686510229
337,mezhdurechensk,53.6942,88.0603,11.2,92,100,1.18,RU,1686510229
338,portland,45.5234,-122.6762,24.97,61,20,4.12,US,1686510154
339,bikenibeu village,1.3673,173.1241,26.98,89,75,1.54,KI,1686510229
340,baganga,7.5739,126.56,25.74,86,54,2.25,PH,1686510229
341,amga,60.8953,131.9608,13.47,78,98,2.09,RU,1686510230
342,galveston,29.3669,-94.9669,35.58,61,0,2.24,US,1686510230
343,pisco,-13.7,-76.2167,23.03,64,20,6.69,PE,1686510230
344,pangai,-19.8,-174.35,24.06,73,75,3.09,TO,1686510230
345,shamva,-17.3116,31.5756,15.82,48,2,1.38,ZW,1686510230
346,kostanay,53.1667,63.5833,15.16,77,40,4.0,KZ,1686510230
347,la sierpe,2.8518,-77.6155,29.21,72,67,3.01,CO,1686510231
348,miquelon,47.0975,-56.3814,15.0,87,67,8.53,PM,1686510231
349,lewistown,40.5992,-77.5714,30.89,62,20,5.14,US,1686510005
350,anjiang,27.3194,110.1031,25.01,78,100,0.75,CN,1686510231
351,hami,42.8,93.45,31.56,14,0,3.58,CN,1686510231
352,dzuunharaa,48.8523,106.4579,16.37,42,51,1.97,MN,1686510231
353,kamensk-ural'skiy,56.4185,61.9329,6.58,61,6,2.98,RU,1686510231
354,punta arenas,-53.15,-70.9167,4.06,75,75,8.75,CL,1686509928
355,nargund,15.7167,75.3833,25.6,69,21,6.99,IN,1686510232
356,lompoc,34.6391,-120.4579,20.43,76,40,2.57,US,1686509947
357,dakoro,14.5106,6.765,34.05,35,95,0.99,NE,1686510232
358,coquimbo,-29.9533,-71.3436,14.85,67,0,5.66,CL,1686510011
359,villa gesell,-37.2639,-56.973,11.14,47,4,7.73,AR,1686510004
360,kruisfontein,-34.0033,24.7314,11.7,75,100,0.76,ZA,1686510232
361,beloyarskiy,63.7119,66.6722,3.86,97,100,4.84,RU,1686510232
